,inquiring_people_corr,inquiring_people,html_url,title,interpellation_type,published_at,inquiring_parties,answering_ministries,answering_ministries_corr
53931,Frank Oesterhelweg;Otto Deppmeyer;Dr. Hans-Joachim Deneke-Jöhrens;Helmut Dammann-Tamke;Christian Calderone;Hans-Heinrich Ehlen,Frank Oesterhelweg;Hans-Heinrich Ehlen;Otto Deppmeyer;Dr. Hans-Joachim Deneke-Jöhrens;Christian Calderone;Helmut Dammann-Tamke,https://kleineanfragen.de/niedersachsen/17/8828-was-hat-die-sanfte-agrarwende-fuer-erzeuger-und-verbraucher-gebracht-teil-2,"Was hat die ""sanfte Agrarwende"" für Erzeuger und Verbraucher gebracht? (Teil 2)",minor,2017-10-25T00:00:00Z,CDU,"Niedersächsisches Ministerium für Ernährung, Landwirtschaft und Verbraucherschutz","Niedersächsisches Ministerium für Ernährung, Landwirtschaft und Verbraucherschutz"
53932,Almuth von Below-Neufeldt,Almuth von Below-Neufeldt,https://kleineanfragen.de/niedersachsen/17/8830-wie-werden-hochwasserschaeden-in-der-landwirtschaft-entschaedigt,Wie werden Hochwasserschäden in der Landwirtschaft entschädigt?,minor,2017-10-24T00:00:00Z,FDP,"Niedersächsisches Ministerium für Ernährung, Landwirtschaft und Verbraucherschutz","Niedersächsisches Ministerium für Ernährung, Landwirtschaft und Verbraucherschutz"
53933,Björn Försterling;Dr. Stefan Birkner,Björn Försterling;Dr. Stefan Birkner,https://kleineanfragen.de/niedersachsen/17/8824-wie-viele-bewerbungen-auf-lehrerstellen-gab-es,Wie viele Bewerbungen auf Lehrerstellen gab es?,minor,2017-10-24T00:00:00Z,FDP,Niedersächsisches Kultusministerium,Niedersächsisches Kultusministerium
53934,Almuth von Below-Neufeldt,Almuth von Below-Neufeldt,https://kleineanfragen.de/niedersachsen/17/8827-historische-muehlen-erlebnisorientierte-lernorte-fuer-erwachsene-und-familien-fuer-projekte-wie-eigene-ernte-vom,Historische Mühlen - Erlebnisorientierte Lernorte für Erwachsene und Familien für Projekte wie „Eigene Ernte - vom Acker auf den Teller“?,minor,2017-10-23T00:00:00Z,FDP,Niedersächsisches Ministerium für Wissenschaft und Kultur,Niedersächsisches Ministerium für Wissenschaft und Kultur
53935,Horst Kortlang;Dr. Stefan Birkner;Dr. Gero Hocker,Dr. Stefan Birkner;Horst Kortlang;Dr. Gero Hocker,https://kleineanfragen.de/niedersachsen/17/8825-hat-der-norden-seinen-anteil-an-der-windkraft-laengst-geleistet,"Hat der Norden seinen Anteil an der Windkraft ""längst geleistet""?",minor,2017-10-23T00:00:00Z,FDP,"Niedersächsisches Ministerium für Umwelt, Energie und Klimaschutz","Niedersächsisches Ministerium für Umwelt, Energie und Klimaschutz"
53936,Frank Oesterhelweg;Otto Deppmeyer;Dr. Hans-Joachim Deneke-Jöhrens;Helmut Dammann-Tamke;Christian Calderone;Hans-Heinrich Ehlen,Frank Oesterhelweg;Hans-Heinrich Ehlen;Otto Deppmeyer;Dr. Hans-Joachim Deneke-Jöhrens;Christian Calderone;Helmut Dammann-Tamke,https://kleineanfragen.de/niedersachsen/17/8823-was-hat-die-sanfte-agrarwende-fuer-erzeuger-und-verbraucher-gebracht-teil-1,"Was hat die ""sanfte Agrarwende"" für Erzeuger und Verbraucher gebracht? (Teil 1)",minor,2017-10-23T00:00:00Z,CDU,"Niedersächsisches Ministerium für Ernährung, Landwirtschaft und Verbraucherschutz","Niedersächsisches Ministerium für Ernährung, Landwirtschaft und Verbraucherschutz"
53937,Horst Kortlang;Dr. Stefan Birkner;Hillgriet Eilers;Dr. Gero Hocker,Dr. Stefan Birkner;Horst Kortlang;Hillgriet Eilers;Dr. Gero Hocker,https://kleineanfragen.de/niedersachsen/17/8822-wie-umweltvertraeglich-ist-die-krabbenfischerei,Wie umweltverträglich ist die Krabbenfischerei?,minor,2017-10-23T00:00:00Z,FDP,"Niedersächsisches Ministerium für Ernährung, Landwirtschaft und Verbraucherschutz","Niedersächsisches Ministerium für Ernährung, Landwirtschaft und Verbraucherschutz"
53938,Hillgriet Eilers;Gabriela König;Jörg Bode;Dr. Gero Hocker,Jörg Bode;Gabriela König;Hillgriet Eilers;Dr. Gero Hocker,https://kleineanfragen.de/niedersachsen/17/8821-halt-des-regionalexpresses-in-ihrhove,Halt des Regionalexpresses in Ihrhove?,minor,2017-10-23T00:00:00Z,FDP,"Niedersächsisches Ministerium für Wirtschaft, Arbeit und Verkehr","Niedersächsisches Ministerium für Wirtschaft, Arbeit und Verkehr"
53939,Dr. Stefan Birkner;Dr. Gero Hocker,Dr. Stefan Birkner;Dr. Gero Hocker,https://kleineanfragen.de/niedersachsen/17/8818-waermeversorgung-aus-erneuerbaren-energien,Wärmeversorgung aus erneuerbaren Energien,minor,2017-10-19T00:00:00Z,FDP,"Niedersächsisches Ministerium für Umwelt, Energie und Klimaschutz","Niedersächsisches Ministerium für Umwelt, Energie und Klimaschutz"
53940,Hermann Grupe;Dr. Stefan Birkner;Dr. Gero Hocker,Dr. Stefan Birkner;Hermann Grupe;Dr. Gero Hocker,https://kleineanfragen.de/niedersachsen/17/8816-wie-steht-die-landesregierung-zum-komplettverbot-von-viehhaltung-und-viehzucht,Wie steht die Landesregierung zum Komplettverbot von Viehhaltung und Viehzucht?,minor,2017-10-18T00:00:00Z,FDP,"Niedersächsisches Ministerium für Ernährung, Landwirtschaft und Verbraucherschutz","Niedersächsisches Ministerium für Ernährung, Landwirtschaft und Verbraucherschutz"
53941,Hermann Grupe;Dr. Stefan Birkner;Dr. Gero Hocker;Christian Grascha,Dr. Stefan Birkner;Christian Grascha;Hermann Grupe;Dr. Gero Hocker,https://kleineanfragen.de/niedersachsen/17/8826-ist-die-oberweserpipeline-mit-dem-masterplan-salzreduzierung-vereinbar,Ist die Oberweserpipeline mit dem Masterplan Salzreduzierung vereinbar?,minor,2017-10-17T00:00:00Z,FDP,"Niedersächsisches Ministerium für Umwelt, Energie und Klimaschutz","Niedersächsisches Ministerium für Umwelt, Energie und Klimaschutz"
53942,Almuth von Below-Neufeldt,Almuth von Below-Neufeldt,https://kleineanfragen.de/niedersachsen/17/8817-wie-wird-sich-die-strompreisentwicklung-auf-die-hochschulfinanzierung-auswirken,Wie wird sich die Strompreisentwicklung auf die Hochschulfinanzierung auswirken?,minor,2017-10-16T00:00:00Z,FDP,Niedersächsisches Ministerium für Wissenschaft und Kultur,Niedersächsisches Ministerium für Wissenschaft und Kultur
53943,Gabriela König;Dr. Stefan Birkner;Jörg Bode;Dr. Gero Hocker,Dr. Stefan Birkner;Gabriela König;Jörg Bode;Dr. Gero Hocker,https://kleineanfragen.de/niedersachsen/17/8809-wie-klimafreundlich-sind-elektroautos,Wie klimafreundlich sind Elektroautos?,minor,2017-10-09T00:00:00Z,FDP,"Niedersächsisches Ministerium für Umwelt, Energie und Klimaschutz","Niedersächsisches Ministerium für Umwelt, Energie und Klimaschutz"
53944,Dr. Stefan Birkner;Jörg Bode;Dr. Gero Hocker,Dr. Stefan Birkner;Jörg Bode;Dr. Gero Hocker,https://kleineanfragen.de/niedersachsen/17/8808-weshalb-fuehrt-suedlink-nicht-durch-die-randgebiete-des-truppenuebungsplatzes-bergen,Weshalb führt SuedLink nicht durch die Randgebiete des Truppenübungsplatzes Bergen?,minor,2017-10-09T00:00:00Z,FDP,"Niedersächsisches Ministerium für Ernährung, Landwirtschaft und Verbraucherschutz","Niedersächsisches Ministerium für Ernährung, Landwirtschaft und Verbraucherschutz"
53945,Sabine Tippelt,Sabine Tippelt,https://kleineanfragen.de/niedersachsen/17/8807-wann-kommt-die-stuendliche-zuganbindung-fuer-den-landkreis-holzminden,Wann kommt die stündliche Zuganbindung für den Landkreis Holzminden?,minor,2017-10-09T00:00:00Z,SPD,"Niedersächsisches Ministerium für Wirtschaft, Arbeit und Verkehr","Niedersächsisches Ministerium für Wirtschaft, Arbeit und Verkehr"
53946,Almuth von Below-Neufeldt,Almuth von Below-Neufeldt,https://kleineanfragen.de/niedersachsen/17/8812-lehrkraefte-von-musikschulen-an-niedersaechsischen-schulen,Lehrkräfte von Musikschulen an niedersächsischen Schulen,minor,2017-10-06T00:00:00Z,FDP,Niedersächsisches Kultusministerium,Niedersächsisches Kultusministerium
53947,Björn Försterling;Dr. Gero Hocker,Björn Försterling;Dr. Gero Hocker,https://kleineanfragen.de/niedersachsen/17/8805-wann-haben-tiere-private-bauten-gestoppt,Wann haben Tiere private Bauten gestoppt?,minor,2017-10-06T00:00:00Z,FDP,"Niedersächsisches Ministerium für Soziales, Gesundheit und Gleichstellung","Niedersächsisches Ministerium für Soziales, Gesundheit und Gleichstellung"
53948,Frank Oesterhelweg;Otto Deppmeyer;Dr. Hans-Joachim Deneke-Jöhrens;Helmut Dammann-Tamke;Christian Calderone;Hans-Heinrich Ehlen,Frank Oesterhelweg;Hans-Heinrich Ehlen;Otto Deppmeyer;Dr. Hans-Joachim Deneke-Jöhrens;Christian Calderone;Helmut Dammann-Tamke,https://kleineanfragen.de/niedersachsen/17/8801-was-hat-die-sanfte-agrarwende-fuer-erzeuger-und-verbraucher-gebracht-teil-7,"Was hat die ""sanfte Agrarwende"" für Erzeuger und Verbraucher gebracht? (Teil 7)",minor,2017-10-05T00:00:00Z,CDU,"Niedersächsisches Ministerium für Ernährung, Landwirtschaft und Verbraucherschutz","Niedersächsisches Ministerium für Ernährung, Landwirtschaft und Verbraucherschutz"
53949,Grant Hendrik Tonne,Grant Hendrik Tonne,https://kleineanfragen.de/niedersachsen/17/8799-waehleranalyse-fuer-mcallister-rechtswidrige-parteienfinanzierung,Wähleranalyse für McAllister - Rechtswidrige Parteienfinanzierung?,minor,2017-10-04T00:00:00Z,SPD,Niedersächsische Staatskanzlei,Niedersächsische Staatskanzlei
