,inquiring_people_corr,inquiring_people,html_url,title,interpellation_type,published_at,inquiring_parties,answering_ministries,answering_ministries_corr
14423,Markus Rinderspacher,Markus Rinderspacher,https://kleineanfragen.de/bayern/17/21112-motorradunfaelle-in-bayern-2017,Motorradunfälle in Bayern 2017,written,2018-06-08T00:00:00Z,SPD,"Staatsministerium des Innern, für Bau und Verkehr","Staatsministerium des Innern, für Bau und Verkehr"
14424,Prof. Dr. Peter Paul Gantzer,Prof. Dr. Peter Paul Gantzer,https://kleineanfragen.de/bayern/17/21111-ausbildung-bei-der-bayerischen-polizei,Ausbildung bei der Bayerischen Polizei,written,2018-06-08T00:00:00Z,SPD,"Staatsministerium des Innern, für Bau und Verkehr","Staatsministerium des Innern, für Bau und Verkehr"
14425,Prof. Dr. Peter Paul Gantzer,Prof. Dr. Peter Paul Gantzer,https://kleineanfragen.de/bayern/17/21098-gefaehrliche-islamistinnen,Gefährliche Islamistinnen,written,2018-06-08T00:00:00Z,SPD,"Staatsministerium des Innern, für Bau und Verkehr","Staatsministerium des Innern, für Bau und Verkehr"
14426,Annette Karl,Annette Karl,https://kleineanfragen.de/bayern/17/21037-wirtschaftliche-zusammenarbeit-in-europa,Wirtschaftliche Zusammenarbeit in Europa,written,2018-06-08T00:00:00Z,SPD,"Staatsministerium für Wirtschaft und Medien, Energie und Technologie","Staatsministerium für Wirtschaft und Medien, Energie und Technologie"
14427,Horst Arnold,Horst Arnold,https://kleineanfragen.de/bayern/17/21010-emissionsmindernde-ausbringung-von-organischen-duengemitteln,Emissionsmindernde Ausbringung von organischen Düngemitteln,written,2018-06-08T00:00:00Z,SPD,"Staatsministerium für Ernährung, Landwirtschaft und Forsten","Staatsministerium für Ernährung, Landwirtschaft und Forsten"
14428,Thomas Mütze,Thomas Mütze,https://kleineanfragen.de/bayern/17/21009-negativzinsen-bei-staatlichen-stiftungen-und-fonds,Negativzinsen bei staatlichen Stiftungen und Fonds,written,2018-06-08T00:00:00Z,Bündnis 90/Die Grünen,"Staatsministerium der Finanzen, für Landesentwicklung und Heimat","Staatsministerium der Finanzen, für Landesentwicklung und Heimat"
14429,Eva Gottstein,Eva Gottstein,https://kleineanfragen.de/bayern/17/20978-familienpflege-in-bayern,Familienpflege in Bayern,written,2018-06-08T00:00:00Z,Freie Wähler,,
14430,Annette Karl,Annette Karl,https://kleineanfragen.de/bayern/17/20977-psychosoziale-beratung-nach-krebs,Psychosoziale Beratung nach Krebs,written,2018-06-08T00:00:00Z,SPD,,
14431,Katharina Schulze;Jürgen Mistol,Jürgen Mistol;Katharina Schulze,https://kleineanfragen.de/bayern/17/20950-silvesternacht-2018,Silvesternacht 2018,written,2018-06-08T00:00:00Z,Bündnis 90/Die Grünen,,
14432,Katharina Schulze,Katharina Schulze,https://kleineanfragen.de/bayern/17/20948-rechtsextreme-musikszene-in-bayern,Rechtsextreme Musikszene in Bayern,written,2018-06-08T00:00:00Z,Bündnis 90/Die Grünen,,
14433,Alexandra Hiersemann,Alexandra Hiersemann,https://kleineanfragen.de/bayern/17/20947-sammelabschiebung-nach-afghanistan-am-06-12-2017,Sammelabschiebung nach Afghanistan am 06.12.2017,written,2018-06-08T00:00:00Z,SPD,"Staatsministerium des Innern, für Bau und Verkehr","Staatsministerium des Innern, für Bau und Verkehr"
14434,Annette Karl,Annette Karl,https://kleineanfragen.de/bayern/17/20946-umsetzung-masterplan-bayern-digital-ii,Umsetzung Masterplan Bayern Digital II,written,2018-06-08T00:00:00Z,SPD,,
14435,Eva Gottstein,Eva Gottstein,https://kleineanfragen.de/bayern/17/20945-frauenhaeuser-in-der-region-10,Frauenhäuser in der Region 10,written,2018-06-08T00:00:00Z,Freie Wähler,,
14436,Annette Karl,Annette Karl,https://kleineanfragen.de/bayern/17/20944-nutzung-vorhandener-infrastruktur-aus-breitbandfoerderprogramm,Nutzung vorhandener Infrastruktur aus Breitbandförderprogramm,written,2018-06-08T00:00:00Z,SPD,"Staatsministerium der Finanzen, für Landesentwicklung und Heimat","Staatsministerium der Finanzen, für Landesentwicklung und Heimat"
14437,Isabell Zacharias,Isabell Zacharias,https://kleineanfragen.de/bayern/17/20943-regionaliserungsstrategie-fuer-die-bayerischen-hochschulen,Regionaliserungsstrategie für die bayerischen Hochschulen,written,2018-06-08T00:00:00Z,SPD,"Staatsministerium für Bildung und Kultus, Wissenschaft und Kunst","Staatsministerium für Bildung und Kultus, Wissenschaft und Kunst"
14438,Katharina Schulze,Katharina Schulze,https://kleineanfragen.de/bayern/17/20934-rechtsextremes-gefaehrdungspotenzial-in-bayern,Rechtsextremes Gefährdungspotenzial in Bayern,written,2018-06-08T00:00:00Z,Bündnis 90/Die Grünen,"Staatsministerium des Innern, für Bau und Verkehr","Staatsministerium des Innern, für Bau und Verkehr"
14439,Christine Kamm,Christine Kamm,https://kleineanfragen.de/bayern/17/20926-abschiebehaft-in-bayern-2017,Abschiebehaft in Bayern 2017,written,2018-06-08T00:00:00Z,Bündnis 90/Die Grünen,,
14440,Rosi Steinberger,Rosi Steinberger,https://kleineanfragen.de/bayern/17/20925-salmonellenfund-in-futtermitteln,Salmonellenfund in Futtermitteln,written,2018-06-08T00:00:00Z,Bündnis 90/Die Grünen,Staatsministerium für Umwelt und Verbraucherschutz,Staatsministerium für Umwelt und Verbraucherschutz
14441,Markus Rinderspacher,Markus Rinderspacher,https://kleineanfragen.de/bayern/17/20924-wohnungspakt-bayern-2017,Wohnungspakt Bayern 2017,written,2018-06-08T00:00:00Z,SPD,"Staatsministerium des Innern, für Bau und Verkehr","Staatsministerium des Innern, für Bau und Verkehr"
14442,Florian von Brunn,Florian von Brunn,https://kleineanfragen.de/bayern/17/20923-oeffentliche-warnung-der-firma-adm-zu-mit-salmonellen-belastetem-futtermittel,Öffentliche Warnung der Firma ADM zu mit Salmonellen belastetem Futtermittel,written,2018-06-08T00:00:00Z,SPD,Staatsministerium für Umwelt und Verbraucherschutz,Staatsministerium für Umwelt und Verbraucherschutz
14443,Katharina Schulze,Katharina Schulze,https://kleineanfragen.de/bayern/17/20922-einfluss-des-bayerischen-landesamts-fuer-verfassungsschutz-auf-die-einordnung-des-oez-attentats,Einfluss des Bayerischen Landesamts für Verfassungsschutz auf die Einordnung des OEZ-Attentats,written,2018-06-08T00:00:00Z,Bündnis 90/Die Grünen,,
14444,Rosi Steinberger,Rosi Steinberger,https://kleineanfragen.de/bayern/17/20921-genehmigungsvoraussetzungen-fuer-gewerbliche-hundeschulen,Genehmigungsvoraussetzungen für gewerbliche Hundeschulen,written,2018-06-08T00:00:00Z,Bündnis 90/Die Grünen,,
14445,Ludwig Hartmann;Markus Ganserer,Ludwig Hartmann;Markus Ganserer,https://kleineanfragen.de/bayern/17/20920-streckenelektrifizierungen-in-oberbayern,Streckenelektrifizierungen in Oberbayern,written,2018-06-08T00:00:00Z,Bündnis 90/Die Grünen,"Staatsministerium des Innern, für Bau und Verkehr","Staatsministerium des Innern, für Bau und Verkehr"
14446,Markus Ganserer;Thomas Mütze,Thomas Mütze;Markus Ganserer,https://kleineanfragen.de/bayern/17/20919-streckenelektrifizierungen-in-unterfranken,Streckenelektrifizierungen in Unterfranken,written,2018-06-08T00:00:00Z,Bündnis 90/Die Grünen,"Staatsministerium des Innern, für Bau und Verkehr","Staatsministerium des Innern, für Bau und Verkehr"
14447,Markus Ganserer;Ulrike Gote,Ulrike Gote;Markus Ganserer,https://kleineanfragen.de/bayern/17/20917-streckenelektrifizierungen-in-oberfranken,Streckenelektrifizierungen in Oberfranken,written,2018-06-08T00:00:00Z,Bündnis 90/Die Grünen,"Staatsministerium des Innern, für Bau und Verkehr","Staatsministerium des Innern, für Bau und Verkehr"
