,inquiring_people_corr,inquiring_people,html_url,title,interpellation_type,published_at,inquiring_parties,answering_ministries,answering_ministries_corr
27773,Peter Trapp,Peter Trapp,https://kleineanfragen.de/berlin/17/11048-die-jugendeinrichtung-haasenburg-gut-und-teuer,Die Jugendeinrichtung Haasenburg - gut und teuer?,minor,2012-10-29T00:00:00Z,CDU,"Senatsverwaltung für Bildung, Jugend und Wissenschaft","Senatsverwaltung für Bildung, Jugend und Wissenschaft"
27774,Dr. Susanna Kahlefeld,Dr. Susanna Kahlefeld,https://kleineanfragen.de/berlin/17/11033-intransparenter-qualitaetsdialog-mit-den-projekten-des-integrationsprogramms,Intransparenter Qualitätsdialog mit den Projekten des Integrationsprogramms,minor,2012-10-29T00:00:00Z,Bündnis 90/Die Grünen,"Senatsverwaltung für Arbeit, Integration und Frauen","Senatsverwaltung für Arbeit, Integration und Frauen"
27775,Özcan Mutlu,Özcan Mutlu,https://kleineanfragen.de/berlin/17/11025-rechtsradikal-aufgefallene-lehrerinnen-im-berliner-schuldienst,Rechtsradikal aufgefallene LehrerInnen im Berliner Schuldienst,minor,2012-10-29T00:00:00Z,Bündnis 90/Die Grünen,"Senatsverwaltung für Bildung, Jugend und Wissenschaft","Senatsverwaltung für Bildung, Jugend und Wissenschaft"
27776,Alexander Spies,Alexander Spies,https://kleineanfragen.de/berlin/17/11018-freie-foerderung-der-berliner-jobcenter-nach-16f-sgb-ii-ansaetze-und-umfang,"""Freie Förderung"" der Berliner Jobcenter nach § 16f SGB II:   Ansätze und Umfang",minor,2012-10-29T00:00:00Z,Piraten,"Senatsverwaltung für Arbeit, Integration und Frauen","Senatsverwaltung für Arbeit, Integration und Frauen"
27777,Jutta Matuschek,Jutta Matuschek,https://kleineanfragen.de/berlin/17/11071-bau-des-flughafenbahnhofs,Bau des Flughafenbahnhofs,minor,2012-10-27T00:00:00Z,Die Linke,Regierender Bürgermeister,Regierender Bürgermeister
27778,Stefan Gelbhaar,Stefan Gelbhaar,https://kleineanfragen.de/berlin/17/11027-was-kostet-was-beim-parlamentsfernsehen,Was kostet was beim Parlamentsfernsehen?,minor,2012-10-27T00:00:00Z,Bündnis 90/Die Grünen,Regierender Bürgermeister,Regierender Bürgermeister
27779,Katrin Lompscher,Katrin Lompscher,https://kleineanfragen.de/berlin/17/11073-wohnungen-staedtischer-wohnungsunternehmen-in-der-innenstadt,Wohnungen städtischer Wohnungsunternehmen in der Innenstadt,minor,2012-10-26T00:00:00Z,Die Linke,Senatsverwaltung für Stadtentwicklung und Umwelt,Senatsverwaltung für Stadtentwicklung und Umwelt
27780,Antje Kapek,Antje Kapek,https://kleineanfragen.de/berlin/17/11067-wie-weiter-mit-dem-ehemaligen-park-range,Wie weiter mit dem ehemaligen Park Range?,minor,2012-10-26T00:00:00Z,Bündnis 90/Die Grünen,Senatsverwaltung für Stadtentwicklung und Umwelt,Senatsverwaltung für Stadtentwicklung und Umwelt
27781,Alexander J. Herrmann,Alexander J. Herrmann,https://kleineanfragen.de/berlin/17/11051-geschichte-berlins-wahren-das-traditionelle-deutsch-amerikanische-volksfest-aufrecht-erhalten-und-angemessen,Geschichte Berlins wahren - das traditionelle Deutsch-Amerikanische Volksfest aufrecht erhalten und angemessen feiern,minor,2012-10-26T00:00:00Z,CDU,"Senatsverwaltung für Wirtschaft, Technolgie und Forschung","Senatsverwaltung für Wirtschaft, Technolgie und Forschung"
27782,Jasenka Villbrandt,Jasenka Villbrandt,https://kleineanfragen.de/berlin/17/11043-wahlbeteiligung-bezirkliche-seniorenvertretungen,Wahlbeteiligung - bezirkliche Seniorenvertretungen,minor,2012-10-26T00:00:00Z,Bündnis 90/Die Grünen,Senatsverwaltung für Gesundheit und Soziales,Senatsverwaltung für Gesundheit und Soziales
