,inquiring_people_corr,inquiring_people,html_url,title,interpellation_type,published_at,inquiring_parties,answering_ministries,answering_ministries_corr
49932,Jutta Gerkan,Jutta Gerkan,https://kleineanfragen.de/mecklenburg-vorpommern/6/1585-fahrradtourismus,Fahrradtourismus,minor,2013-03-20T00:00:00Z,Bündnis 90/Die Grünen,"Ministerium für Energie, Infrastruktur und Landesentwicklung","Ministerium für Energie, Infrastruktur und Landesentwicklung"
49933,Prof. Dr. Fritz Tack,Prof. Dr. Fritz Tack,https://kleineanfragen.de/mecklenburg-vorpommern/6/1561-ver-und-entsorgung-der-ferkelzuchtanlage-alt-tellin,Ver- und Entsorgung der Ferkelzuchtanlage Alt Tellin,minor,2013-03-20T00:00:00Z,Die Linke,"Ministerium für Landwirtschaft, Umwelt und Verbraucherschutz","Ministerium für Landwirtschaft, Umwelt und Verbraucherschutz"
49934,Udo Pastörs,Udo Pastörs,https://kleineanfragen.de/mecklenburg-vorpommern/6/1608-bonn-berlin-gesetz-und-belastung-fuer-den-steuerzahler,Bonn-Berlin-Gesetz und Belastung für den Steuerzahler,minor,2013-03-18T00:00:00Z,NPD,Finanzministerium,Finanzministerium
49935,Udo Pastörs,Udo Pastörs,https://kleineanfragen.de/mecklenburg-vorpommern/6/1607-diebstaehle-von-bootsmotoren-und-bootszubehoer,Diebstähle von Bootsmotoren und Bootszubehör,minor,2013-03-18T00:00:00Z,NPD,Ministerium für Inneres und Sport,Ministerium für Inneres und Sport
49936,Tino Müller,Tino Müller,https://kleineanfragen.de/mecklenburg-vorpommern/6/1606-situation-der-feuerwehren-im-land,Situation der Feuerwehren im Land,minor,2013-03-18T00:00:00Z,NPD,Ministerium für Inneres und Sport,Ministerium für Inneres und Sport
49937,David Petereit,David Petereit,https://kleineanfragen.de/mecklenburg-vorpommern/6/1600-manifest-der-kommende-aufstand,Manifest „Der kommende Aufstand“,minor,2013-03-18T00:00:00Z,NPD,Ministerium für Inneres und Sport,Ministerium für Inneres und Sport
49938,Johann-Georg Jaeger,Johann-Georg Jaeger,https://kleineanfragen.de/mecklenburg-vorpommern/6/1597-berufs-und-schuelerverkehr-fahrrad,Berufs- und Schülerverkehr Fahrrad,minor,2013-03-18T00:00:00Z,Bündnis 90/Die Grünen,"Ministerium für Energie, Infrastruktur und Landesentwicklung","Ministerium für Energie, Infrastruktur und Landesentwicklung"
49939,Jeannine Rösler,Jeannine Rösler,https://kleineanfragen.de/mecklenburg-vorpommern/6/1594-beauftragungen-von-rechtsanwaltskanzleien-durch-die-landesregierung,Beauftragungen von Rechtsanwaltskanzleien durch die Landesregierung,minor,2013-03-18T00:00:00Z,Die Linke,Justizministerium,Justizministerium
49940,Simone Oldenburg,Simone Oldenburg,https://kleineanfragen.de/mecklenburg-vorpommern/6/1545-bundesinitiative-jugend-staerken-umsetzungsergebnisse-aus-dem-programm-schulverweigerung-die-2-chance,Bundesinitiative „JUGEND STÄRKEN“ - Umsetzungsergebnisse aus dem Programm „Schulverweigerung - Die 2. Chance“,minor,2013-03-18T00:00:00Z,Die Linke,"Ministerium für Bildung, Wissenschaft und Kultur","Ministerium für Bildung, Wissenschaft und Kultur"
49941,Beate Schlupp,Beate Schlupp,https://kleineanfragen.de/mecklenburg-vorpommern/6/1522-haushaltssatzungen-der-landkreise-fuer-2012-2013,Haushaltssatzungen der Landkreise für 2012/2013,minor,2013-03-18T00:00:00Z,CDU,Ministerium für Inneres und Sport,Ministerium für Inneres und Sport
49942,Udo Pastörs,Udo Pastörs,https://kleineanfragen.de/mecklenburg-vorpommern/6/1611-auslaendische-aerzte-und-sprachpruefungen,Ausländische Ärzte und Sprachprüfungen,minor,2013-03-14T00:00:00Z,NPD,"Ministerium für Arbeit, Gleichstellung und Soziales","Ministerium für Arbeit, Gleichstellung und Soziales"
49943,David Petereit,David Petereit,https://kleineanfragen.de/mecklenburg-vorpommern/6/1602-akkreditierung-von-studiengaengen,Akkreditierung von Studiengängen,minor,2013-03-13T00:00:00Z,NPD,"Ministerium für Bildung, Wissenschaft und Kultur","Ministerium für Bildung, Wissenschaft und Kultur"
49944,David Petereit,David Petereit,https://kleineanfragen.de/mecklenburg-vorpommern/6/1601-ehemalige-politische-haeftlinge-der-ddr,Ehemalige politische Häftlinge der DDR,minor,2013-03-13T00:00:00Z,NPD,"Ministerium für Arbeit, Gleichstellung und Soziales","Ministerium für Arbeit, Gleichstellung und Soziales"
49945,Silke Gajek,Silke Gajek,https://kleineanfragen.de/mecklenburg-vorpommern/6/1596-ausschreibung-der-betreibung-von-gemeinschaftsunterkuenften,Ausschreibung der Betreibung von Gemeinschaftsunterkünften,minor,2013-03-13T00:00:00Z,Bündnis 90/Die Grünen,Landesregierung,Landesregierung
