,person,party
1422,Jan Schalauske,Die Linke
1423,Gerhard Merz,SPD
1424,Nancy Faeser,SPD
1425,Andrea Ypsilanti,SPD
1426,Handan Özgüven,SPD
1427,Christoph Degen,SPD
1428,Corrado Di Benedetto,SPD
1429,Marjana Schott,Die Linke
1430,Wolfgang Greilich,FDP
1431,Dr. Daniela Sommer,SPD
1432,Lisa Gnadl,SPD
1433,Lothar Quanz,SPD
1434,Stephan Grüger,SPD
1435,Stefan Müller,FDP
1436,René Rock,FDP
1437,Uwe Frankenberger,SPD
1438,Hermann Schaus,Die Linke
1439,Dr. h.c. Jörg-Uwe Hahn,FDP
1440,Elke Barth,SPD
1441,Sabine Waschke,SPD
1442,Torsten Warnecke,SPD
1443,Manuela Strube,SPD
1444,Günter Rudolph,SPD
1445,Regine Müller,SPD
1446,Dieter Franz,SPD
1447,Wolfgang Decker,SPD
1448,Brigitte Hofmeyer,SPD
1449,Gerald Kummer,SPD
1450,Kerstin Geis,SPD
1451,Marius Weiß,SPD
1452,Gernot Grumbach,SPD
1453,Heike Hofmann,SPD
1454,Ernst-Ewald Roth,SPD
1455,Rüdiger Holschuh,SPD
1456,Tobias Eckert,SPD
1457,Alexander Bauer,CDU
1458,Janine Wissler,Die Linke
1459,Wiebke Knell,FDP
1460,Karin Wolff,CDU
1461,Ismail Tipi,CDU
1462,Claudia Ravensburg,CDU
1463,Klaus Peter Möller,CDU
1464,Markus Meysner,CDU
1465,Dirk Landau,CDU
1466,Andreas Hofmeister,CDU
1467,Birgit Heitland,CDU
1468,Christian Heinz,CDU
1469,Klaus Dietz,CDU
1470,Ulrich Caspar,CDU
1471,Sabine Bächle-Scholz,CDU
1472,Jürgen Banzer,CDU
1473,Lena Arnoldt,CDU
1474,Frank Steinraths,CDU
1475,Kaya Kinkel,Bündnis 90/Die Grünen
1476,Gabriele Faulhaber,Die Linke
1477,Turgut Yüksel,SPD
1478,Ulrike Alex,SPD
1479,Angela Dorn,Bündnis 90/Die Grünen
1480,Martina Feldmayer,Bündnis 90/Die Grünen
1481,Hildegard Förster-Heldmann,Bündnis 90/Die Grünen
1482,Norbert Schmitt,SPD
1483,Armin Schwarz,CDU
1484,Dr. Frank Blechschmidt,FDP
1485,Ursula Hammann,Bündnis 90/Die Grünen
1486,Thorsten Schäfer-Gümbel,SPD
1487,Heike Habermann,SPD
1488,Mathias Wagner,Bündnis 90/Die Grünen
1489,Holger Bellino,CDU
1490,Kurt Wiegel,CDU
1491,Tobias Utter,CDU
1492,Petra Müller-Klepper,CDU
1493,Hugo Klein,CDU
1494,Timon Gremmels,SPD
1495,Karin Müller,Bündnis 90/Die Grünen
1496,Nicola Beer,FDP
1497,Astrid Wallmann,CDU
1498,Uwe Serke,CDU
1499,Michael Reul,CDU
1500,Clemens Reif,CDU
1501,Irmgard Klaff-Isselmann,CDU
1502,Daniel May,Bündnis 90/Die Grünen
1503,Bettina Wiesmann,CDU
1504,Jürgen Frömmrich,Bündnis 90/Die Grünen
1505,Hans-Jürgen Irmer,CDU
1506,Dr. Ulrich Wilken,Die Linke
1507,Norbert Kartmann,CDU
1508,Joachim Veyhelmann,CDU
1509,Manfred Pentz,CDU
1510,Judith Lannert,CDU
1511,Horst Klee,CDU
1512,Florian Rentsch,FDP
1513,Eva Goldbach,Bündnis 90/Die Grünen
1514,Sigrid Erfurth,Bündnis 90/Die Grünen
1515,Dr. Walter Arnold,CDU
1516,Heiko Kasseckert,CDU
1517,van Willi Ooyen,Die Linke
1518,Peter Stephan,CDU
1519,Barbara Cárdenas,Die Linke
1520,Dr. Ralf-Norbert Bartelt,CDU
1521,Hartmut Honka,CDU
1522,Michael Boddenberg,CDU
1523,Günter Schork,CDU
1524,Dr. Thomas Spies,SPD
1525,Dr. Jörg-Uwe Hahn,FDP
1526,Dr. Daniela Neuschäfer,SPD
1527,Jörg-Uwe Hahn,FDP
1528,Daniela Neuschäfer,SPD
1529,Ulrike Berger,Bündnis 90/Die Grünen
1530,Karen Stramm,Die Linke
1531,Barbara Borchardt,Die Linke
1532,Prof. Dr. Fritz Tack,Die Linke
1533,Helmut Holter,Die Linke
1534,Henning Foerster,Die Linke
1535,Dr. Ursula Karlowski,Bündnis 90/Die Grünen
1536,David Petereit,NPD
1537,Simone Oldenburg,Die Linke
1538,Johann-Georg Jaeger,Bündnis 90/Die Grünen
1539,Peter Ritter,Die Linke
1540,Silke Gajek,Bündnis 90/Die Grünen
1541,Johannes Saalfeld,Bündnis 90/Die Grünen
1542,Jürgen Suhr,Bündnis 90/Die Grünen
1543,Tino Müller,NPD
1544,Jacqueline Bernhardt,Die Linke
1545,Dr. Hikmat Al-Sabty,Die Linke
1546,Dr. André Brie,Die Linke
1547,Torsten Koplin,Die Linke
1548,Regine Lück,Die Linke
1549,Dr. Mignon Schwenke,Die Linke
1550,Udo Pastörs,NPD
1551,Beate Schlupp,CDU
1552,Stefan Köster,NPD
1553,Jeannine Rösler,Die Linke
1554,Michael Andrejewski,NPD
1555,Jutta Gerkan,Bündnis 90/Die Grünen
1556,Egbert Liskow,CDU
1557,Burkard Lenz,CDU
1558,Julian Barlen,SPD
1559,Maika Friemann-Jennert,CDU
1560,Jürgen Seidel,CDU
1561,Wolfgang Waldmüller,CDU
1562,Dietmar Eifler,CDU
1563,Ingulf Donig,SPD
1564,Christel Weißig,AfD
1565,Torsten Koplin,Die Linke
1566,Jacqueline Bernhardt,Die Linke
1567,Nikolaus Kramer,AfD
1568,Stephan J. Reuken,AfD
1569,Jörg Kröger,AfD
1570,Jeannine Rösler,Die Linke
1571,Simone Oldenburg,Die Linke
1572,Dr. Gunter Jess,AfD
1573,Jens-Holger Schneider,AfD
1574,Thomas de Jesus Fernandes,AfD
1575,Prof. Dr. Ralph Weber,AfD
1576,Karsten Kolbe,Die Linke
1577,Henning Foerster,Die Linke
1578,Dr. Mignon Schwenke,Die Linke
1579,Horst Förster,AfD
1580,Dr. Matthias Manthei,AfD
1581,Eva-Maria Kröger,Die Linke
1582,Holger Arppe,AfD
1583,Ralf Borschke,AfD
1584,Peter Ritter,Die Linke
1585,Karen Larisch,Die Linke
1586,Bernhard Wildt,AfD
1587,Christoph Grimm,AfD
1588,Dirk Lerche,AfD
1589,Dr. Wolfgang Weiß,Die Linke
1590,Sandro Hersel,AfD
1591,Bert Obereiner,AfD
1592,Jürgen Strohschein,AfD
1593,Beate Schlupp,CDU
1594,Leif-Erik Holm,AfD
1595,Enrico Komning,AfD
1596,Helmut Holter,Die Linke
1597,Egbert Liskow,CDU
1598,Björn Försterling,FDP
1599,Ulf Thiele,CDU
1600,Jörg Bode,FDP
1601,Martin Bäumer,CDU
1602,Almuth von Below-Neufeldt,FDP
1603,Frank Oesterhelweg,CDU
1604,Hans-Heinrich Ehlen,CDU
1605,Otto Deppmeyer,CDU
1606,Dr. Hans-Joachim Deneke-Jöhrens,CDU
1607,Christian Calderone,CDU
1608,Helmut Dammann-Tamke,CDU
1609,Dr. Stefan Birkner,FDP
1610,Dr. Marco Genthe,FDP
1611,Dr. Gero Hocker,FDP
1612,Jan-Christoph Oetjen,FDP
1613,Hermann Grupe,FDP
1614,Grant Hendrik Tonne,SPD
1615,Annette Schwarz,CDU
1616,Gudrun Pieper,CDU
1617,Petra Joumaah,CDU
1618,Burkhard Jasper,CDU
1619,Volker Meyer,CDU
1620,Dr. Max Matthiesen,CDU
1621,Reinhold Hilbers,CDU
1622,Björn Thümler,CDU
1623,Horst Kortlang,FDP
1624,Hillgriet Eilers,FDP
1625,Gabriela König,FDP
1626,Christian Grascha,FDP
1627,Sabine Tippelt,SPD
1628,Uwe Schünemann,CDU
1629,Jörg Hillmer,CDU
1630,Kai Seefried,CDU
1631,Angelika Jahns,CDU
1632,Thomas Adasch,CDU
1633,Editha Lorberg,CDU
1634,Horst Schiesgeries,CDU
1635,Dr. Stephan Siemer,CDU
1636,Lutz Winkelmann,CDU
1637,Andrea Schröder-Ehlers,SPD
1638,Kathrin Wahlmann,SPD
1639,Marco Brunotte,SPD
1640,Gerd Ludwig Will,SPD
1641,Ronald Schminke,SPD
1642,Matthias Möhle,SPD
1643,Petra Emmerich-Kopatsch,SPD
1644,Renate Geuter,SPD
1645,Dr. Gabriele Andretta,SPD
1646,Anette Meyer zu Strohen,CDU
1647,Axel Miesner,CDU
1648,Ingrid Klopp,CDU
1649,André Bock,CDU
1650,Ernst-Ingolf Angermann,CDU
1651,Rainer Fredermann,CDU
1652,Sylvia Bruns,FDP
1653,Christian Dürr,FDP
1654,Karl-Heinz Bley,CDU
1655,Dirk Toepffer,CDU
1656,Astrid Vockert,CDU
1657,Volker Bajus,Bündnis 90/Die Grünen
1658,Miriam Staudte,Bündnis 90/Die Grünen
1659,Elke Twesten,Bündnis 90/Die Grünen
1660,Bernd-Carsten Hiebing,CDU
1661,Karsten Heineking,CDU
1662,Regina Asendorf,Bündnis 90/Die Grünen
1663,Ottmar von Holtz,Bündnis 90/Die Grünen
1664,Belit Onay,Bündnis 90/Die Grünen
1665,Filiz Polat,Bündnis 90/Die Grünen
1666,Meta Janssen-Kucz,Bündnis 90/Die Grünen
1667,Helge Limburg,Bündnis 90/Die Grünen
1668,Julia Willie Hamburg,Bündnis 90/Die Grünen
1669,Johann-Heinrich Ahlers,CDU
1670,Jens Nacke,CDU
1671,Maximilian Schmidt,SPD
1672,Heinrich Scholing,Bündnis 90/Die Grünen
1673,Sebastian Lechner,CDU
1674,Heiner Schönecke,CDU
1675,Thomas Schremmer,Bündnis 90/Die Grünen
1676,Maaret Westphely,Bündnis 90/Die Grünen
1677,Dr. Thela Wernstedt,SPD
1678,Dr. Christos Pantazis,SPD
1679,Immacolata Glosemeyer,SPD
1680,Holger Ansmann,SPD
1681,Uwe Schwarz,SPD
1682,Rudolf Götz,CDU
1683,Mechthild Ross-Luttmann,CDU
1684,Karl-Heinz Klare,CDU
1685,Adrian Mohr,CDU
1686,Gerda Hövel,CDU
1687,Susanne Menge,Bündnis 90/Die Grünen
1688,Hans-Joachim Janßen,Bündnis 90/Die Grünen
1689,Heinz Rolfes,CDU
1690,Heidemarie Mundlos,CDU
1691,Gabriela Kohlenberg,CDU
1692,Clemens Lammerskitten,CDU
1693,Klaus Krumfuß,CDU
1694,Lothar Koch,CDU
1695,Clemens Große Macke,CDU
1696,Ansgar-Bernhard Focke,CDU
1697,Bernd Busemann,CDU
1698,Karin Bertholdes-Sandrock,CDU
1699,Christos Pantazis,SPD
1700,Ulf Prange,SPD
1701,Michael Höntsch,SPD
1702,Stefan Klein,SPD
1703,Marcus Bosse,SPD
1704,Hans-Dieter Haase,SPD
1705,Axel Brammer,SPD
1706,Johanne Modder,SPD
1707,Markus Brinkmann,SPD
1708,Bernd Lynack,SPD
1709,Dr. Alexander Saipa,SPD
1710,Karin Logemann,SPD
1711,Petra Tiemann,SPD
1712,Karsten Becker,SPD
1713,Luzia Moldenhauer,SPD
1714,Sigrid Rakow,SPD
1715,Wiard Siebels,SPD
1716,Uwe Santjer,SPD
1717,Detlef Tanke,SPD
1718,Christoph Bratmann,SPD
1719,Klaus-Peter Bachmann,SPD
1720,Holger Heymann,SPD
1721,Frank Henning,SPD
1722,Mustafa Erkan,SPD
1723,Dr. Silke Lesemann,SPD
1724,Stefan Politze,SPD
1725,Doris Schröder-Köpf,SPD
1726,Ulrich Watermann,SPD
1727,Gerald Heere,Bündnis 90/Die Grünen
1728,Uwe Strümpel,SPD
1729,Anja Piel,Bündnis 90/Die Grünen
1730,Luiza Moldenhauer,SPD
1731,Karl Heinz Hausmann,SPD
1732,BurkhardJasper,CDU
1733,Claus Peter Poppe,SPD
1734,Aygül Özkan,CDU
1735,Ina Korter,Bündnis 90/Die Grünen
1736,Norbert Böhlke,CDU
1737,Stefan Henze,AfD
1738,Stephan Bothe,AfD
1739,Christian Meyer,Bündnis 90/Die Grünen
1740,Susanne Menge,Bündnis 90/Die Grünen
1741,Eva Viehoff,Bündnis 90/Die Grünen
1742,Imke Byl,Bündnis 90/Die Grünen
1743,Julia Willie Hamburg,Bündnis 90/Die Grünen
1744,Thomas Brüninghoff,FDP
1745,Jörg Bode,FDP
1746,Christian Grascha,FDP
1747,Dr. Marco Genthe,FDP
1748,Susanne Victoria Schütz,FDP
1749,Stefan Wirtz,AfD
1750,Björn Försterling,FDP
1751,Dr. Stefan Birkner,FDP
1752,Hermann Grupe,FDP
1753,Volker Bajus,Bündnis 90/Die Grünen
1754,Detlev Schulz-Hendel,Bündnis 90/Die Grünen
1755,Meta Janssen-Kucz,Bündnis 90/Die Grünen
1756,Heiner Schönecke,CDU
1757,Helmut Dammann-Tamke,CDU
1758,André Bock,CDU
1759,Dana Guth,AfD
1760,Sylvia Bruns,FDP
1761,Hillgriet Eilers,FDP
1762,Harm Rykena,AfD
1763,Horst Kortlang,FDP
1764,Dragos Pancescu,Bündnis 90/Die Grünen
1765,Miriam Staudte,Bündnis 90/Die Grünen
1766,Jens Ahrends,AfD
1767,Christopher Emden,AfD
1768,Peer Lilienthal,AfD
1769,Helge Limburg,Bündnis 90/Die Grünen
1770,Christoph Plett,CDU
1771,Martin Bäumer,CDU
1772,Stefan Wenzel,Bündnis 90/Die Grünen
1773,Anja Piel,Bündnis 90/Die Grünen
1774,Jörg Hillmer,CDU
1775,Rainer Fredermann,CDU
1776,Gerda Hövel,CDU
1777,Jörn Schepelmann,CDU
1778,Karl-Heinz Bley,CDU
1779,Bernd-Carsten Hiebing,CDU
1780,Christian Fühner,CDU
1781,Bernd Busemann,CDU
1782,Björn Thümler,CDU
1783,Sebastian Lechner,CDU
1784,Dr. Stephan Siemer,CDU
1785,Christoph Eilers,CDU
1786,Christian Calderone,CDU
1787,Deniz Kurku,SPD
1788,Dr. Esther Niewerth-Baumann,CDU
1789,Belit Onay,Bündnis 90/Die Grünen
1790,Ulf Thiele,CDU
1791,Jens Nacke,CDU
1792,Klaus Wichmann,AfD
1793,Hanna Judith Naber,SPD
1794,Oliver Lottke,SPD
1795,Immacolata Glosemeyer,SPD
1796,Holger Ansmann,SPD
1797,Dr. Thela Wernstedt,SPD
1798,Uwe Schwarz,SPD
1799,Burkhard Jasper,CDU
1800,Dr. Frank Schmädeke,CDU
1801,Laura Hopmann,CDU
1802,Frank Oesterhelweg,CDU
1803,Axel Miesner,CDU
1804,Uwe Dorendorf,CDU
1805,Karsten Becker,SPD
1806,Dirk Adomat,SPD
1807,Andrea Schröder-Ehlers,SPD
1808,Jan-Christoph Oetjen,FDP
1809,Volker Senftleben,SPD
1810,Guido Pott,SPD
1811,Dr. Dörte Liebetruth,SPD
1812,Gerd Hans Hujahn,SPD
1813,Axel Brammer,SPD
1814,Marcus Bosse,SPD
1815,Lasse Weritz,CDU
1816,Dr. Karl-Ludwig von Danwitz,CDU
1817,Clemens Lammerskitten,CDU
1818,Mareike Wulf,CDU
1819,Anette Meyer zu Strohen,CDU
1820,Sabine Tippelt,SPD
1821,Markus Brinkmann,SPD
1822,Laura Rebuschat,CDU
1823,Jörn Uwe Domeier,SPD
1824,Annette Schütze,SPD
1825,Veronika Koch,CDU
1826,Oliver Schatta,CDU
1827,Thomas Ehbrecht,CDU
1828,Dr. Christos Pantazis,SPD
1829,Dr. Silke Lesemann,SPD
1830,Matthias Möhle,SPD
1831,Dr. Alexander Saipa,SPD
1832,Kai Seefried,CDU
1833,Alptekin Kirci,SPD
1834,Claudia Schüßler,SPD
1835,Gudrun Pieper,CDU
1836,Stefan Politze,SPD
1837,Dr. Marco Mohrmann,CDU
1838,Rüdiger Kauroff,SPD
1839,Frauke Heiligenstadt,SPD
1840,Thordies Hanisch,SPD
1841,Petra Emmerich-Kopatsch,SPD
1842,Jochen Beekhuis,SPD
1843,Matthias Arends,SPD
1844,Stefan Klein,SPD
1845,Karin Logemann,SPD
1846,Frank Henning,SPD
1847,Uwe Santjer,SPD
1848,Ulrich Watermann,SPD
1849,Gregor Golland,CDU
1850,Frank Herrmann,Piraten
1851,Susanne Schneider,FDP
1852,Hendrik Wüst,CDU
1853,Ingola Schmitz,FDP
1854,Ingola Stefanie Schmitz,FDP
1855,Marc Lürbke,FDP
1856,Ralf Witzel,FDP
1857,Dirk Wedel,FDP
1858,Dr. Joachim Stamp,FDP
1859,Andreas Terhaag,FDP
1860,Dr. Björn Kerbein,FDP
1861,Dietmar Brockes,FDP
1862,Karlheinz Busen,FDP
1863,Ulrich Alda,FDP
1864,Ernst-Ulrich Alda,FDP
1865,Holger Ellerbrock,FDP
1866,Dr. Ingo Wolf,FDP
1867,Christof Rasche,FDP
1868,Theo Kruse,CDU
1869,Robert Stein,Piraten
1870,Rolf Seel,CDU
1871,Werner Lohn,CDU
1872,Gerd Stüttgen,fraktionslos
1873,Andre Kuper,CDU
1874,Henning Höne,FDP
1875,Hanns-Jörg Rohwedder,Piraten
1876,Rainer Deppe,CDU
1877,Josef Rickfelder,CDU
1878,Yvonne Gebauer,FDP
1879,Jens Kamieth,CDU
1880,Marcel Hafke,FDP
1881,Ursula Doppmeier,CDU
1882,Angela Freimuth,FDP
1883,Dr. Marcus Optendrenk,CDU
1884,Christian Möbius,CDU
1885,Petra Vogt,CDU
1886,Christina Schulze Föcking,CDU
1887,Kirstin Korte,CDU
1888,Andrea Milz,CDU
1889,Daniel Schwerd,Piraten
1890,Matthias Kerkhoff,CDU
1891,Peter Biesenbach,CDU
1892,Thorsten Schick,CDU
1893,Jens Nettekoven,CDU
1894,Jens-Peter Nettekoven,CDU
1895,Lothar Hegemann,CDU
1896,Josef Hovenjürgen,CDU
1897,Eckhard Uhlenberg,CDU
1898,Holger Müller,CDU
1899,Claudia Middendorf,CDU
1900,Oskar Burkert,CDU
1901,Micheal-Ezzo Solf,CDU
1902,Ilka von Boeselager,CDU
1903,Ilka Freifrau von Boeselager,CDU
1904,Ulla Thönnissen,CDU
1905,Armin Laschet,CDU
1906,Dr. Stefan Berger,CDU
1907,Prof. Dr. Dr. Thomas Sternberg,CDU
1908,Heiko Hendriks,CDU
1909,Bernhard Schemmer,CDU
1910,Bernhard Tenhumberg,CDU
1911,Bernd Krückel,CDU
1912,Dr. Gerd Hachen,CDU
1913,Rita Klöpper,CDU
1914,Axel Wirtz,CDU
1915,Hendrik Schmitz,CDU
1916,Ralf Nettelstroth,CDU
1917,Winfried Schittges,CDU
1918,Ina Scharrenbach,CDU
1919,Christian Haardt,CDU
1920,Arne Moritz,CDU
1921,Reiner Spiecker,CDU
1922,Rainer Spiecker,CDU
1923,Werner Jostmeier,CDU
1924,Hubertus Fehring,CDU
1925,Peter Preuß,CDU
1926,Wilhelm Hausmann,CDU
1927,Klaus Voussem,CDU
1928,Daniel Sieveke,CDU
1929,Lutz Lienenkämper,CDU
1930,Klaus Kaiser,CDU
1931,Dr. Anette Bunse,CDU
1932,Regina van Dinther,CDU
1933,Serap Güler,CDU
1934,Norbert Post,CDU
1935,Dr. Günther Baumann,CDU
1936,Margret Voßeler,CDU
1937,Dr. Günther Bergmann,CDU
1938,Walter Kern,CDU
1939,Josef Wirtz,CDU
1940,Marie-Luise Fasse,CDU
1941,Henning Rehbaum,CDU
1942,Astrid Birkhahn,CDU
1943,Michele Marsching,Piraten
1944,Thomas Nückel,FDP
1945,Daniel Düngel,Piraten
1946,Torsten Sommer,Piraten
1947,Birgit Rydlewski,Piraten
1948,Ralph Bombis,FDP
1949,Michael-Ezzo Solf,CDU
1950,Dirk Schatz,Piraten
1951,Dik Wedel,FDP
1952,Dirk Wesel,FDP
1953,Dr. Günther J. Bergmann,CDU
1954,Wilfried Grunendahl,CDU
1955,Simone Brand,Piraten
1956,Christoph Rasche,FDP
1957,Lukas Lamla,Piraten
1958,Marc Olejak,Piraten
1959,Lukas Markus Lamla,Piraten
1960,Monika Pieper,Piraten
1961,Olaf Wegner,Piraten
1962,Oliver Bayer,Piraten
1963,Dr. Joachim Paul,Piraten
1964,Dietmar Schulz,Piraten
1965,Ralf Witze!,FDP
1966,Kristin Korte,CDU
1967,Winfried Grunendahl,CDU
1968,Dr. Günter J. Bergmann,CDU
1969,Mark Lürbke,FDP
1970,Nicolaus Kern,Piraten
1971,Stefan Fricke,Piraten
1972,Ingo Schmitz,FDP
1973,Dr. Wilhelm Droste,CDU
1974,Karl-Heinz Busen,FDP
1975,Friedhelm Ortgies,CDU
1976,Kai Abruszat,FDP
1977,Thomas Kufen,CDU
1978,Volker Jung,CDU
1979,Dr. Gerhard Papke,FDP
1980,Kai Schmalenbach,Piraten
1981,Dr. Robert Orth,FDP
1982,Dr. Dennis Maelzer,SPD
1983,Christian Lindner,FDP
1984,Manuela Grochowiak-Schmieding,Bündnis 90/Die Grünen
1985,Karl-Josef Laumann,CDU
1986,Oliver Wittke,CDU
1987,Daniela Schneckenburger,Bündnis 90/Die Grünen
1988,Günter Garbrecht,SPD
1989,Andrea Ursula Asch,Bündnis 90/Die Grünen
1990,Wibke Brems,Bündnis 90/Die Grünen
1991,Inge Howe,SPD
1992,Verena Schäffer,Bündnis 90/Die Grünen
1993,Wibke Brems,Bündnis 90/Die Grünen
1994,Arndt Klocke,Bündnis 90/Die Grünen
1995,Matthi Bolte-Richter,Bündnis 90/Die Grünen
1996,Dr. Dennis Maelzer,SPD
1997,René Schneider,SPD
1998,Angela Lück,SPD
1999,Jochen Ott,SPD
2000,Eva-Maria Voigt-Küppers,SPD
2001,Dr. Christian Blex,AfD
2002,Markus Wagner,AfD
2003,Thomas Röckemann,AfD
2004,Alexander Vogt,SPD
2005,Ernst-Wilhelm Rahe,SPD
2006,Dr. Nadja Büteführ,SPD
2007,Ina Spanier-Oppermann,SPD
2008,Susana dos Santos Herrmann,SPD
2009,Carsten Löcker,SPD
2010,Stefan Kämmerling,SPD
2011,Sigrid Beer,Bündnis 90/Die Grünen
2012,Stefan Zimkeit,SPD
2013,Alexander Langguth,AfD
2014,Frank Sundermann,SPD
2015,Norwich Rüße,Bündnis 90/Die Grünen
2016,Andreas Keith,AfD
2017,Michael Hübner,SPD
2018,Michael R. Hübner,SPD
2019,Frank Neppe,AfD
2020,Nic Peter Vogel,AfD
2021,Serdar Yüksel,SPD
2022,Karsten Rudolph,SPD
2023,Prof. Dr. Karsten Rudolph,SPD
2024,Carina Gödecke,SPD
2025,Inge Blask,SPD
2026,Gabriele Hammelrath,SPD
2027,Dietmar Bell,SPD
2028,Marcus Pretzell,AfD
2029,Britta Altenkamp,SPD
2030,Frank Müller,SPD
2031,Iris Dworeck-Danielowski,AfD
2032,Gabriele Walger-Demolsky,AfD
2033,Christian Loose,AfD
2034,Lisa-Kristin Kapteinat,SPD
2035,Lisa Kapteinat,SPD
2036,Roger Beckamp,AfD
2037,Andreas Bialas,SPD
2038,Josefine Paul,Bündnis 90/Die Grünen
2039,Horst Becker,Bündnis 90/Die Grünen
2040,Ibrahim Yetim,SPD
2041,Rainer Bischoff,SPD
2042,Frank Börner,SPD
2043,Ralf Jäger,SPD
2044,Sarah Philipp,SPD
2045,Sebastian Watermeier,SPD
2046,Helmut Seifen,AfD
2047,Sven W. Tritschler,AfD
2048,Herbert Strotebeck,AfD
2049,Dr. Martin Vincentz,AfD
2050,Johannes Remmel,Bündnis 90/Die Grünen
2051,Anja Butschkau,SPD
2052,Verena Schäffer,Bündnis 90/Die Grünen
2053,Rainer Schmelzer,SPD
2054,Rainer Schmeltzer,SPD
2055,Gordan Dudas,SPD
2056,Karl Schultheis,SPD
2057,Stefan Engstfeld BÜNDNIS 90/DIE,Bündnis 90/Die Grünen
2058,Stefan Engstfeld,Bündnis 90/Die Grünen
2059,Monika Düker,Bündnis 90/Die Grünen
2060,Mehrdad Mostofizadeh,Bündnis 90/Die Grünen
2061,Andreas Becker,SPD
2062,Heike Gebhard,SPD
2063,Markus Herbert Weske,SPD
2064,Elisabeth Müller-Witt,SPD
2065,Christina Kampmann,SPD
2066,Sonja Bongers,SPD
2067,Ellen Stock,SPD
2068,Jürgen Berghahn,SPD
2069,Hans-Willi Körfges,SPD
2070,Nadja Lüders,SPD
2071,Volkan Baran,SPD
2072,Armin Jahl,SPD
2073,Christian Dahm,SPD
2074,André Stinka,SPD
2075,Sven Wolf,SPD
2076,Andreas Kossiski,SPD
2077,Martin Börschel,SPD
2078,Hubertus Kramer,SPD
2079,Wolfgang Jörg,SPD
2080,Thomas Kutschaty,SPD
2081,Hannelore Kraft,SPD
2082,Marlies Stotz,SPD
2083,Thomas Göddertz,SPD
2084,Prof. Dr. Rainer Bovermann,SPD
2085,Christina Weng,SPD
2086,Annette Watermann-Krass,SPD
2087,Eva Lux,SPD
2088,Regina Kopp-Herr,SPD
2089,Christiana Kampmann,SPD
2090,Georg Fortmeier,SPD
2091,Josef Neumann,SPD
2092,Norbert Römer,SPD
2093,Rüdiger Weiß,SPD
2094,Berivan Aymaz,Bündnis 90/Die Grünen
2095,Hartmut Ganzke,SPD
2096,Dr. Denn Maelzer,SPD
2097,Christian Kampmann,SPD
2098,Jusef Neumann,SPD
2099,Markus Weske,SPD
2100,Oliver Keymis BÜNDNIS 90/DIE,Bündnis 90/Die Grünen
2101,Sonja Bongers MdL,SPD
2102,Marc Herter,SPD
2103,Guido van den Berg,SPD
2104,Kossiski,SPD
2105,Elisabeth Müller-Will,SPD
2106,Exa Lux,SPD
2107,Oliver Keymis,Bündnis 90/Die Grünen
2108,Volker Baran,SPD
2109,Monika Düker BÜNDNIS 90/DIE,Bündnis 90/Die Grünen
2110,Markus Pretzell,fraktionslos
2111,Eva-Marie Voigt-Küppers,SPD
2112,Michael Ralf Hübner,SPD
2113,Anrdt Klocke,Bündnis 90/Die Grünen
2114,Karl Schutheis,SPD
2115,Barbara Steffens,Bündnis 90/Die Grünen
2116,Svenja Schulze,SPD
2117,Neppe,fraktionslos
2118,Helmut Ganzke,SPD
2119,Christian Löcker,SPD
2120,Beriva Aymaz,Bündnis 90/Die Grünen
2121,Michael Hübner SPD,Bündnis 90/Die Grünen
2122,Sarah Phillip,SPD
2123,Sarah Philip,SPD
2124,Armin Jahr,SPD
2125,Sven Werner Tritschler,AfD
2126,Matthias Lammert,CDU
2127,Marcus Klein,CDU
2128,Arnold Schmitt,CDU
2129,Christian Baldauf,CDU
2130,Barbara Schleicher-Rothmund,SPD
2131,Michael Wäschenbach,CDU
2132,Dr. Susanne Ganster,CDU
2133,Gerd Schreiner,CDU
2134,Josef Dötsch,CDU
2135,Guido Ernst,CDU
2136,Dr. Fred Konrad,Bündnis 90/Die Grünen
2137,Anne Spiegel,Bündnis 90/Die Grünen
2138,Dr. Peter Enders,CDU
2139,Hans-Josef Bracht,CDU
2140,Dr. Axel Wilke,CDU
2141,Julia Klöckner,CDU
2142,Adolf Kessel,CDU
2143,Brigitte Hayn,CDU
2144,Marlies Kohnle-Gros,CDU
2145,Nico Steinbach,SPD
2146,Bernhard Henter,CDU
2147,Andreas Biebricher,CDU
2148,Dr. Bernhard Braun,Bündnis 90/Die Grünen
2149,Ellen Demuth,CDU
2150,Bettina Dickes,CDU
2151,Wolfgang Schlagwein,Bündnis 90/Die Grünen
2152,Thomas Wansch,SPD
2153,Daniel Schäffner,SPD
2154,Dr. Denis Alt,SPD
2155,Fritz Presl,SPD
2156,Ruth Leppla,SPD
2157,Manfred Geis,SPD
2158,Nils Wiechmann,Bündnis 90/Die Grünen
2159,Pia Schellhammer,Bündnis 90/Die Grünen
2160,Daniel Köbler,Bündnis 90/Die Grünen
2161,Martin Brandl,CDU
2162,Gabriele Wieland,CDU
2163,Dorothea Schäfer,CDU
2164,Wolfgang Reichel,CDU
2165,Alexander Fuhr,SPD
2166,Kathrin Anklam-Trapp,SPD
2167,Ruth Ratter,Bündnis 90/Die Grünen
2168,Jutta Blatzheim-Roegler,Bündnis 90/Die Grünen
2169,Elisabeth Bröskamp,Bündnis 90/Die Grünen
2170,Michael Hüttner,SPD
